Level	Rate	Pattern	MaxBeats	TargetBeats	SafeWidth	BeatWidth
1	.25	1,1,1,1	20	5	4	2
2	.25	1,1,1,1	20	5	4	2
3	.25	1,1,1,1	20	5	4	2
1	.25	1,1,1,1	20	5	4	2
1	.25	1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
1	.25	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	5	2	1.5
